"","Enhancers","Gene_body_1","Gene_body_2","H1","HP1","Open_promoters","Pc","Low_signal","annot","annot_thr"
"lncRNA:CR45262",0.386179,0,0,0,0,0,0,0.613821,"Low_signal","Enhancers"
"lncRNA:CR42844",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"lncRNA:CR45456",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"lncRNA:CR45457",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"CG17005",0,0,0,0.579598,0,0,0,0.420402,"H1","H1"
"Cks30A",0,0,0,0,0,0.641215,0,0.358785,"Open_promoters","Open_promoters"
"Eaat1",0.358938,0,0,0,0,0.291098,0,0.349964,"Enhancers","Enhancers"
"CG3748",0.034961,0,0,0.616967,0,0,0,0.348072,"H1","H1"
"lncRNA:CR44802",1,0,0,0,0,0,0,0,"Enhancers","Enhancers"
"CG43350",1,0,0,0,0,0,0,0,"Enhancers","Enhancers"
"CG13110",1,0,0,0,0,0,0,0,"Enhancers","Enhancers"
"lncRNA:CR43404",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"CG34181",0.201511,0,0,0,0,0,0,0.798489,"Low_signal","Low_signal"
"Shawl",0.144737,0,0,0.066894,0,0,0,0.788369,"Low_signal","Low_signal"
"asRNA:CR43865",0.26183,0,0,0.473186,0,0,0,0.264984,"H1","H1"
"Aldh",0.143609,0,0,0,0,0,0,0.856391,"Low_signal","Low_signal"
"CG4438",0,0,0,0.796764,0,0,0,0.203236,"H1","H1"
"Mco1",0,0,0,0.215296,0,0,0,0.784704,"Low_signal","Low_signal"
"Fbp2",0,0,0.367167,0.632833,0,0,0,0,"H1","H1"
"CG42847",0,0,0,0.264368,0,0,0,0.735632,"Low_signal","H1"
"FucTB",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"scat",0,0.381098,0,0,0,0,0,0.618902,"Low_signal","Gene_body_1"
"CG3769",0,0,0,0,0.860707,0,0,0.139293,"HP1","HP1"
"RpS28-like",0,0,0,0,0.699764,0,0,0.300236,"HP1","HP1"
"numb",0.190904,0,0,0,0,0.067378,0,0.741718,"Low_signal","Enhancers"
"CG33723",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"lncRNA:CR43769",0.699065,0,0,0,0,0,0,0.300935,"Enhancers","Enhancers"
"Gdi",0.141622,0,0.324324,0,0,0.290811,0,0.243243,"Gene_body_2","Gene_body_2"
"CG33298",0.19031,0.059472,0.059472,0,0,0.035683,0,0.655063,"Low_signal","Enhancers"
"Oatp30B",0.190981,0.143236,0.079576,0,0,0,0,0.586207,"Low_signal","Enhancers"
"CG31883",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"CG17855",0,0,0,0.807358,0,0,0,0.192642,"H1","H1"
"Cpr30B",0,0,0,0.074359,0,0,0,0.925641,"Low_signal","Low_signal"
"CG13113",0,0,0,1,0,0,0,0,"H1","H1"
"CG13114",0,0,0,0.696838,0,0,0,0.303162,"H1","H1"
"jp",0.157646,0,0,0.189175,0,0,0,0.653179,"Low_signal","H1"
"CG46468",0.174622,0,0,0.209546,0,0,0,0.615832,"Low_signal","H1"
"lncRNA:CR44149",0.071429,0,0,0,0,0,0,0.928571,"Low_signal","Low_signal"
"brwl",0,0.320376,0,0.064075,0,0,0,0.615549,"Low_signal","Gene_body_1"
"Mtpalpha",0,0.187149,0.187149,0,0,0,0,0.625702,"Low_signal","Gene_body_1"
"CG31709",0,0,0,0,0,0,1,0,"Pc","Pc"
"gcm",0,0,0,0,0,0,1,0,"Pc","Pc"
"lncRNA:CR43621",0,0,0,0,0,0,1,0,"Pc","Pc"
"CG3841",0,0,0,0,0,0,1,0,"Pc","Pc"
"CG4382",0,0,0,0,0,0,0.712851,0.287149,"Pc","Pc"
"gcm2",0,0,0,0,0,0,0.902027,0.097973,"Pc","Pc"
"Trx-2",0.555899,0,0.340951,0,0,0,0,0.10315,"Enhancers","Enhancers"
"GlcAT-S",0.135542,0.135542,0.275753,0,0,0,0,0.453163,"Low_signal","Gene_body_2"
"CG31882",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"Apoltp",0.027464,0,0,0.504692,0,0,0,0.467845,"H1","H1"
"CG33299",0,0,0,0.485437,0,0,0,0.514563,"Low_signal","H1"
"lncRNA:CR46208",0.285054,0,0,0,0,0,0,0.714946,"Low_signal","Enhancers"
"lncRNA:CR44150",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"Pka-C1",0.300318,0,0,0,0,0.158815,0,0.540867,"Low_signal","Enhancers"
"hoip",0,0,0,0,0,1,0,0,"Open_promoters","Open_promoters"
"pelo",0,0.111483,0.297287,0.148644,0,0.110244,0,0.332342,"Low_signal","Gene_body_2"
"CG31710",0,0.256264,0.145786,0.341686,0,0,0,0.256264,"H1","H1"
"CG4364",0,0.629362,0,0,0,0.255319,0,0.115319,"Gene_body_1","Gene_body_1"
"Nckx30C",0.234257,0.034302,0,0.085756,0,0.060029,0,0.585656,"Low_signal","Enhancers"
"CG13116",0.258706,0,0,0,0,0,0,0.741294,"Low_signal","Enhancers"
"CG13117",0.348926,0,0,0,0,0,0,0.651074,"Low_signal","Enhancers"
"Cyp4e3",0,0,0,0.838262,0,0,0,0.161738,"H1","H1"
"zf30C",0,0,0,0,0,0.018597,0,0.981403,"Low_signal","Low_signal"
"Taf11",0,0,0,0,0,1,0,0,"Open_promoters","Open_promoters"
"und",0,0,0.324022,0,0,0.675978,0,0,"Open_promoters","Open_promoters"
"ppk18",0,0.159603,0.096294,0.532009,0,0,0,0.212094,"H1","H1"
"CG4017",0,0,0,0.744158,0,0,0,0.255842,"H1","H1"
"CG17633",0,0,0,0.896219,0,0,0,0.103781,"H1","H1"
"ppk11",0,0,0,0.774194,0,0,0,0.225806,"H1","H1"
"ppk16",0,0,0,0.774194,0,0,0,0.225806,"H1","H1"
"IP3K1",0.346034,0,0,0,0,0,0,0.653966,"Low_signal","Enhancers"
"hpRNA:CR18854",0,0,0,0,0,0.070994,0,0.929006,"Low_signal","Low_signal"
"CG4036",0,0,0,0,0,1,0,0,"Open_promoters","Open_promoters"
"CG13123",0,0,0,0,0,1,0,0,"Open_promoters","Open_promoters"
"nAChRalpha6",0.165173,0,0.006456,0.058106,0,0,0,0.770265,"Low_signal","Low_signal"
"lncRNA:CR43766",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"lncRNA:CR44701",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"Fkbp59",0,0,0,0,0,0.991012,0,0.008988,"Open_promoters","Open_promoters"
"CG34183",0,0,0,0,0,0.054852,0,0.945148,"Low_signal","Low_signal"
"CG4537",0,0,0,0,0,0.745011,0,0.254989,"Open_promoters","Open_promoters"
"mtDNA-helicase",0,0,0.273848,0,0,0.705157,0,0.020995,"Open_promoters","Open_promoters"
"Uhg2",0.837229,0,0,0,0,0,0,0.162771,"Enhancers","Enhancers"
"snoRNA:U14:30Eb",0.325,0,0,0,0,0,0,0.675,"Low_signal","Enhancers"
"snoRNA:U14:30Ea",1,0,0,0,0,0,0,0,"Enhancers","Enhancers"
"snoRNA:Me18S-G1620",1,0,0,0,0,0,0,0,"Enhancers","Enhancers"
"snoRNA:Me18S-A1576",1,0,0,0,0,0,0,0,"Enhancers","Enhancers"
"Bka",0.26071,0,0,0,0,0.73929,0,0,"Open_promoters","Open_promoters"
"RpS2",0,0,0,0,0,0.804196,0,0.195804,"Open_promoters","Open_promoters"
"Muc30E",0.169555,0,0,0,0,0,0,0.830445,"Low_signal","Low_signal"
"CG13124",0,0.280164,0.056033,0,0,0,0,0.663803,"Low_signal","Gene_body_1"
"Etl1",0,0,0.397035,0,0,0.081525,0,0.52144,"Low_signal","Gene_body_2"
"Srp54",0,0,0.281294,0,0,0.718706,0,0,"Open_promoters","Open_promoters"
"yip2",0,0,0.152517,0,0,0.389934,0,0.45755,"Low_signal","Open_promoters"
"CG5885",0,0,0,0,0,1,0,0,"Open_promoters","Open_promoters"
"CG4598",0,0,0.412783,0,0,0.587217,0,0,"Open_promoters","Open_promoters"
"CG4594",0,0,0.877598,0,0,0,0,0.122402,"Gene_body_2","Gene_body_2"
"CG4592",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"TbCMF46",0,0,0.422932,0.406485,0,0,0,0.170583,"Gene_body_2","Gene_body_2"
"CG42366",0,0,0,0.582519,0,0,0,0.417481,"H1","H1"
"CG42367",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"Cpr30F",0,0,0,0,0.480359,0,0,0.519641,"Low_signal","HP1"
"CG31712",0,0.2673,0,0,0,0.277398,0,0.455301,"Low_signal","Open_promoters"
"asRNA:CR45007",0,0,0,0,0,1,0,0,"Open_promoters","Open_promoters"
"Datp",0,0,0,0,0,1,0,0,"Open_promoters","Open_promoters"
"CG4619",0,0,0,0,0,0.247199,0,0.752801,"Low_signal","Low_signal"
"CG5853",0.130909,0,0,0.087273,0,0.087273,0,0.694545,"Low_signal","Enhancers"
"lncRNA:CR45949",0,0,0,0.461608,0,0,0,0.538392,"Low_signal","H1"
"mir-87",0,0,0,1,0,0,0,0,"H1","H1"
"CG13126",0,0,0.487435,0,0,0.512565,0,0,"Open_promoters","Open_promoters"
"CG4709",0,0.324149,0.634792,0,0,0.041059,0,0,"Gene_body_2","Gene_body_2"
"CG5846",0,0,0,0,0,0.776836,0,0.223164,"Open_promoters","Open_promoters"
"CG4658",0,0.296443,0.15415,0,0,0,0,0.549407,"Low_signal","Gene_body_1"
"asRNA:CR44872",0,0.45935,0.54065,0,0,0,0,0,"Gene_body_2","Gene_body_2"
"CG5850",0,0.09615,0.574346,0,0,0.255265,0,0.07424,"Gene_body_2","Gene_body_2"
"asRNA:CR43683",0,0,1,0,0,0,0,0,"Gene_body_2","Gene_body_2"
"Dref",0.389358,0,0,0,0,0.496106,0,0.114536,"Open_promoters","Open_promoters"
"RpL13",0,0,0,0,0,1,0,0,"Open_promoters","Open_promoters"
"lncRNA:CR13130",0.693097,0,0,0,0,0,0,0.306903,"Enhancers","Enhancers"
"bib",0.161113,0,0,0.110162,0,0,0,0.728725,"Low_signal","Enhancers"
"CG31875",0.376307,0.083624,0,0.083624,0,0.083624,0,0.372822,"Enhancers","Enhancers"
"SoYb",0.430182,0.099502,0,0.099502,0,0,0,0.370813,"Enhancers","Enhancers"
"Ndf",0,0,0,0,0,0.177971,0,0.822029,"Low_signal","Low_signal"
"asRNA:CR44873",0,0,0,0,0,0.941337,0,0.058663,"Open_promoters","Open_promoters"
"Trp1",0,0.23753,0.475059,0,0,0,0,0.287411,"Gene_body_2","Gene_body_2"
"CG13131",0,0,0,0.708215,0,0,0,0.291785,"H1","H1"
"CG13127",0,0,0,0.657513,0,0,0,0.342487,"H1","H1"
"obst-B",0.095785,0,0,0.191571,0,0,0,0.712644,"Low_signal","H1"
"CG33301",0,0,0,1,0,0,0,0,"H1","H1"
"lncRNA:CR44874",0,0,0,1,0,0,0,0,"H1","H1"
"lncRNA:CR44875",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"Cpr31A",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"Pen",0,0,0.375587,0,0,0.56338,0,0.061033,"Open_promoters","Open_promoters"
"Spn31A",0.187842,0.385976,0,0.096494,0,0,0,0.329688,"Gene_body_1","Gene_body_1"
"CG44153",0.170491,0,0,0.090412,0,0,0,0.739097,"Low_signal","Enhancers"
"CG13133",0,0,0,1,0,0,0,0,"H1","H1"
"CG34109",0.189585,0,0,0.037917,0,0,0,0.772497,"Low_signal","Low_signal"
"CG13135",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"CG4839",0.378901,0,0,0.180552,0,0,0,0.440547,"Low_signal","Enhancers"
"CG13137",0,0,0,0.648415,0,0,0,0.351585,"H1","H1"
"Sur",0.019143,0,0.036232,0.380435,0,0,0,0.564191,"Low_signal","H1"
"Fum4",0,0,0,0.71599,0,0,0,0.28401,"H1","H1"
"Ripalpha",0,0,0,0,0,0.047044,0,0.952956,"Low_signal","Low_signal"
"RpL7",0,0,0,0,0,1,0,0,"Open_promoters","Open_promoters"
"CG34159",0,0,0,0,0,0.33389,0,0.66611,"Low_signal","Open_promoters"
"Snx17",0,0,0.408348,0,0,0.572142,0,0.01951,"Open_promoters","Open_promoters"
"CG5731",0,0,0,0,0.676946,0.043249,0,0.279804,"HP1","HP1"
"lncRNA:CR44845",0,0,0,0,0.82201,0,0,0.17799,"HP1","HP1"
"CG5727",0,0,0,0,0,0.580918,0,0.419082,"Open_promoters","Open_promoters"
"CG4901",0,0.434833,0.116369,0,0,0.349108,0,0.09969,"Gene_body_1","Gene_body_1"
"Npc1a",0,0.202593,0.28363,0,0,0.081037,0,0.432739,"Low_signal","Gene_body_2"
"Prosalpha6",0,0,0,0,0,0.961506,0,0.038494,"Open_promoters","Open_promoters"
"Bcs1",0,0.584916,0,0,0,0.167598,0,0.247486,"Gene_body_1","Gene_body_1"
"CG5708",0,0.060825,0,0,0,0,0,0.939175,"Low_signal","Low_signal"
"ova",0.04883,0,0,0,0.035605,0,0,0.915565,"Low_signal","Low_signal"
"eEF1delta",0,0,0.283067,0,0,0,0,0.716933,"Low_signal","Gene_body_2"
"mthl15",0,0,0,0,0.540461,0,0,0.459539,"HP1","HP1"
"me31B",0,0,0.696574,0,0,0.211939,0,0.091487,"Gene_body_2","Gene_body_2"
"chico",0,0,0.676303,0,0,0,0,0.323697,"Gene_body_2","Gene_body_2"
"asRNA:CR44995",0,0,0.88548,0,0,0,0,0.11452,"Gene_body_2","Gene_body_2"
"bsk",0.033678,0,0.200067,0,0,0,0,0.766255,"Low_signal","Low_signal"
"CG31717",0.269191,0,0,0,0,0.614125,0,0.116684,"Open_promoters","Open_promoters"
"Ror",0,0,0.211045,0,0,0,0,0.788955,"Low_signal","Low_signal"
"CG5676",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"Pten",0,0,0.190275,0,0,0.285201,0,0.524524,"Low_signal","Open_promoters"
"Rsf1",0,0,0,0,0,0.826606,0,0.173394,"Open_promoters","Open_promoters"
"REPTOR-BP",0.815217,0,0,0,0,0,0,0.184783,"Enhancers","Enhancers"
"Mob3",0,0,0,0,0,0.705024,0,0.294976,"Open_promoters","Open_promoters"
"CG4953",0,0,0,0,0,0.023472,0,0.976528,"Low_signal","Low_signal"
"CG4957",0,0,0,0,0,1,0,0,"Open_promoters","Open_promoters"
"Mulk",0,0.424328,0.258133,0,0,0.317539,0,0,"Gene_body_1","Gene_body_1"
"trk",0,0,0.291714,0,0,0,0,0.708286,"Low_signal","Gene_body_2"
"Utx",0,0,0,0,0,0.171292,0,0.828708,"Low_signal","Low_signal"
"CG34043",0,0,0,0,0.285789,0,0,0.714211,"Low_signal","HP1"
"Ufd4",0,0.571579,0.172712,0,0,0,0,0.255709,"Gene_body_1","Gene_body_1"
"Hand",0,0,0,0,0,0,0.327051,0.672949,"Low_signal","Pc"
"CYLD",0,0,0,0,0,0,0.712387,0.287613,"Pc","Pc"
"asRNA:CR44968",0,0,0,0,0,0,1,0,"Pc","Pc"
"CG13138",0,0,0,0.293974,0.293974,0,0,0.412053,"Low_signal","H1"
"nmd",0,0,0,0,0,0.759301,0,0.240699,"Open_promoters","Open_promoters"
"CG5390",0,0,0,0,0.712871,0.049505,0,0.237624,"HP1","HP1"
"CG4968",0,0,0,0,0,0.959929,0,0.040071,"Open_promoters","Open_promoters"
"Cdk5alpha",0,0.318584,0,0,0,0,0,0.681416,"Low_signal","Gene_body_1"
"l(2)SH0834",0,0,0,0,0,0.761678,0,0.238322,"Open_promoters","Open_promoters"
"Usp14",0,0,0,0,0,1,0,0,"Open_promoters","Open_promoters"
"CG4972",0,0,0,0,0,0.362982,0,0.637018,"Low_signal","Open_promoters"
"CG5381",0,0.107047,0.107047,0,0,0,0,0.785905,"Low_signal","Low_signal"
"CG4995",0,0.477327,0.119332,0,0,0,0,0.403341,"Gene_body_1","Gene_body_1"
"RnrL",0,0,0,0,0,0.460405,0,0.539595,"Low_signal","Open_promoters"
"Schip1",0.308642,0,0,0,0.377229,0,0,0.314129,"HP1","HP1"
"Cox10",0,0,0,0,0,0.542823,0,0.457177,"Open_promoters","Open_promoters"
"GATAd",0,0,0.275179,0,0,0.220143,0,0.504678,"Low_signal","Gene_body_2"
"SamDC",0,0,0.146628,0,0.439883,0,0,0.41349,"HP1","HP1"
"CG31715",0.643881,0,0,0,0,0.025358,0,0.330761,"Enhancers","Enhancers"
"Sps2",0,0,0,0,0,0.863106,0,0.136894,"Open_promoters","Open_promoters"
"CG5022",0,0,0,0,0,0,0.492034,0.507966,"Low_signal","Pc"
"CG34367",0,0,0,0,0,0,1,0,"Pc","Pc"
"CG5367",0,0,0,0,0,0,1,0,"Pc","Pc"
"ClpP",0,0,0,0,0,0.549493,0,0.450507,"Open_promoters","Open_promoters"
"Cand1",0,0.393615,0.196807,0.131205,0,0.220206,0,0.058168,"Gene_body_1","Gene_body_1"
"pim",0,0,0,0,0,1,0,0,"Open_promoters","Open_promoters"
"lft",0,0,0,0,0.57246,0,0,0.42754,"HP1","HP1"
"CG5056",0,0,0,0,0,0.717703,0,0.282297,"Open_promoters","Open_promoters"
"rho-5",0,0.510638,0.051064,0,0,0.153191,0,0.285106,"Gene_body_1","Gene_body_1"
"CG33303",0,0,0.251256,0,0,0.484506,0,0.264238,"Open_promoters","Open_promoters"
"dpr19",0,0,0.160557,0,0.160557,0.054857,0,0.62403,"Low_signal","Gene_body_2"
"gny",0,0,0.217313,0,0,0.39732,0,0.385368,"Open_promoters","Open_promoters"
"CG5096",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"Cdk1",0,0,0,0,0,0.565988,0,0.434012,"Open_promoters","Open_promoters"
"mRpS7",0,0,0,0,0,1,0,0,"Open_promoters","Open_promoters"
"da",0,0,0.234238,0,0,0.116143,0,0.649619,"Low_signal","Gene_body_2"
"asRNA:CR45789",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"Mdh1",0.40344,0,0.59656,0,0,0,0,0,"Gene_body_2","Gene_body_2"
"Cnot4",0,0.231125,0,0,0,0.016333,0,0.752542,"Low_signal","Low_signal"
"CG17768",0,0,0,0,0,0.250748,0,0.749252,"Low_signal","Open_promoters"
"LSm-4",0,0,0,0,0,0.250748,0,0.749252,"Low_signal","Open_promoters"
"Ir31a",0,0,0,0,0.887158,0,0,0.112842,"HP1","HP1"
"Ip259",0,0,0,0,0,0.882353,0,0.117647,"Open_promoters","Open_promoters"
"RpS27A",0,0,0.074144,0,0,0.855513,0,0.070342,"Open_promoters","Open_promoters"
"CG5355",0,0,0.12406,0,0,0.363295,0,0.512645,"Low_signal","Open_promoters"
"Klp31E",0,0.120627,0.482509,0,0,0.097105,0,0.299759,"Gene_body_2","Gene_body_2"
"RfC3",0,0.078762,0,0,0,0.843882,0,0.077356,"Open_promoters","Open_promoters"
"pie",0,0.359629,0,0,0,0.640371,0,0,"Open_promoters","Open_promoters"
"Wdfy2",0,0,0.273848,0,0,0.630762,0,0.09539,"Open_promoters","Open_promoters"
"SmB",0,0,0,0,0,0.626748,0,0.373252,"Open_promoters","Open_promoters"
"KdelR",0,0,0,0,0,0.637822,0,0.362178,"Open_promoters","Open_promoters"
"CG5188",0,0,0,0,0,0.93874,0,0.06126,"Open_promoters","Open_promoters"
"Bug22",0,0,0,0,0,1,0,0,"Open_promoters","Open_promoters"
"TfIIB",0,0,0.346457,0,0,0.506187,0,0.147357,"Open_promoters","Open_promoters"
"TBC1D16",0,0,0.846413,0,0,0,0,0.153587,"Gene_body_2","Gene_body_2"
"holn1",0,0,0,0,0,0.012112,0,0.987888,"Low_signal","Low_signal"
"STUB1",0,0,0,0,0,0.562648,0,0.437352,"Open_promoters","Open_promoters"
"Nse4",0,0,0,0,0,0.721842,0,0.278158,"Open_promoters","Open_promoters"
"lncRNA:CR45375",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"loh",0.079512,0.159025,0,0.079512,0,0,0,0.681951,"Low_signal","Gene_body_1"
"ppk10",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"LManI",0,0,0,0.525855,0,0,0,0.474145,"H1","H1"
"LManII",0,0.311591,0.062318,0.249273,0,0,0,0.376818,"Low_signal","Gene_body_1"
"RluA-1",0,0.081751,0,0.299755,0,0,0,0.618494,"Low_signal","H1"
"RluA-2",0,0.152491,0.10166,0,0,0,0,0.745849,"Low_signal","Gene_body_1"
"Grip75",0,0,0.802888,0,0,0,0,0.197112,"Gene_body_2","Gene_body_2"
"Cog4",0,0.680934,0.214656,0,0,0.10441,0,0,"Gene_body_1","Gene_body_1"
"CG6144",0,0.204301,0.169779,0,0,0.62592,0,0,"Open_promoters","Open_promoters"
"CG13144",0,0.772201,0.1287,0,0,0,0,0.099099,"Gene_body_1","Gene_body_1"
"Myo31DF",0.06014,0.100234,0.080187,0.120281,0,0.032008,0,0.60715,"Low_signal","H1"
"asRNA:CR44224",0,0,0,0,0,1,0,0,"Open_promoters","Open_promoters"
"CG6094",0,0,0,0,0,1,0,0,"Open_promoters","Open_promoters"
"CG7384",0,0,0,0,0,0.092907,0,0.907093,"Low_signal","Low_signal"
"Fatp1",0.137489,0,0.091659,0,0,0.137489,0,0.633364,"Low_signal","Enhancers"
"Lrr47",0,0,0.345915,0,0,0,0,0.654085,"Low_signal","Gene_body_2"
"Lip4",0,0,0,0.779363,0,0,0,0.220637,"H1","H1"
"CG18301",0,0,0,0.328587,0,0,0,0.671413,"Low_signal","H1"
"CG18302",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"lncRNA:CR44618",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"Trim9",0.30079,0,0,0.007214,0,0.018035,0.010821,0.66314,"Low_signal","Enhancers"
"CG6138",1,0,0,0,0,0,0,0,"Enhancers","Enhancers"
"w-cup",0.824017,0,0,0,0,0,0,0.175983,"Enhancers","Enhancers"
"CG34160",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"CG34161",0.863087,0,0,0,0,0,0,0.136913,"Enhancers","Enhancers"
"CG7329",0.098695,0.065797,0,0.164492,0,0,0,0.671017,"Low_signal","H1"
"lncRNA:CR45351",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"CG31872",0,0,0,0.296286,0,0,0,0.703714,"Low_signal","H1"
"CG18284",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"CG17097",0,0,0,0.959326,0,0,0,0.040674,"H1","H1"
"lncRNA:CR44580",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"dbf",0,0,0,0.831254,0,0,0,0.168746,"H1","H1"
"lncRNA:CR45692",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"CG45690",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"CG31871",0.191367,0,0,0.191367,0,0,0,0.617266,"Low_signal","Enhancers"
"CG17104",0,0.361499,0,0.478278,0,0,0,0.160223,"H1","H1"
"lncRNA:CR44180",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"CG17105",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"CG17107",0,0,0,1,0,0,0,0,"H1","H1"
"CG7299",0.823829,0,0,0,0,0,0,0.176171,"Enhancers","Enhancers"
"CG7296",0.505308,0,0,0.494692,0,0,0,0,"Enhancers","Enhancers"
"CG7294",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"CG17108",0.260533,0,0,0.739467,0,0,0,0,"H1","H1"
"CG7300",0,0,0,0.394348,0,0,0,0.605652,"Low_signal","H1"
"asRNA:CR44181",0,0,0,0.364042,0,0,0,0.635958,"Low_signal","H1"
"Lip1",0,0,0,0.956929,0,0,0,0.043071,"H1","H1"
"Lip2",0.199654,0,0,0.159723,0,0,0,0.640623,"Low_signal","Enhancers"
"CG6415",0.060351,0,0,0.91673,0,0,0,0.022918,"H1","H1"
"lncRNA:CR44407",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"CG6431",0,0,0,0.132246,0,0,0,0.867754,"Low_signal","Low_signal"
"CG6443",0,0.60574,0,0,0,0,0,0.39426,"Gene_body_1","Gene_body_1"
"CG17118",0,0.676658,0,0,0,0.323342,0,0,"Gene_body_1","Gene_body_1"
"EMC3",0,0,0,0,0,1,0,0,"Open_promoters","Open_promoters"
"Dpy-30L1",0,0,0,0,0,1,0,0,"Open_promoters","Open_promoters"
"Nup107",0,0,0.215983,0,0,0.362491,0,0.421526,"Low_signal","Open_promoters"
"Vha16-5",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"CG12299",0,0.486392,0.175593,0,0,0.263389,0,0.074627,"Gene_body_1","Gene_body_1"
"CG6729",0,0.513162,0.38059,0,0,0,0,0.106248,"Gene_body_1","Gene_body_1"
"mir-4970",0,1,0,0,0,0,0,0,"Gene_body_1","Gene_body_1"
"CG17124",0.220408,0,0,0.073469,0,0.073469,0,0.632653,"Low_signal","Enhancers"
"mir-9378",1,0,0,0,0,0,0,0,"Enhancers","Enhancers"
"CG6495",0,0,0.17406,0,0,0,0,0.82594,"Low_signal","Low_signal"
"Ubc2",0,0,0.463952,0,0,0.536048,0,0,"Open_promoters","Open_promoters"
"CG6724",0,0,0,0,0,1,0,0,"Open_promoters","Open_promoters"
"CG17127",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"CG31869",0.154793,0,0,0.103196,0,0,0,0.742011,"Low_signal","Enhancers"
"lncRNA:CR44582",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"CG31870",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"lncRNA:CR44581",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"Nos",0.081566,0,0,0.126365,0,0,0,0.792069,"Low_signal","Low_signal"
"CG6508",0,0,0,1,0,0,0,0,"H1","H1"
"CG17134",0.05309,0,0,0.94691,0,0,0,0,"H1","H1"
"CG6700",0.137307,0,0.61665,0,0,0,0,0.246043,"Gene_body_2","Gene_body_2"
"mir-4987",0,0,1,0,0,0,0,0,"Gene_body_2","Gene_body_2"
"CG17139",0,0.45283,0,0.137358,0,0,0,0.409811,"Gene_body_1","Gene_body_1"
"CG17140",0,0.45283,0,0.137358,0,0,0,0.409811,"Gene_body_1","Gene_body_1"
"Porin2",0.671975,0,0,0.089172,0,0,0,0.238854,"Enhancers","Enhancers"
"porin",0.544877,0,0,0,0,0.24855,0,0.206573,"Enhancers","Enhancers"
"SmydA-3",0,0.134439,0.067219,0,0,0.058033,0,0.740309,"Low_signal","Gene_body_1"
"Dnz1",0,0,0,0,0,0.382073,0,0.617927,"Low_signal","Open_promoters"
"aurB",0,0,0,0,0,1,0,0,"Open_promoters","Open_promoters"
"Stam",0,0,0,0,0,0.335447,0,0.664553,"Low_signal","Open_promoters"
"lncRNA:CR43807",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"CG12517",0,0,0,1,0,0,0,0,"H1","H1"
"lncRNA:CR45453",0,0,0,1,0,0,0,0,"H1","H1"
"lncRNA:CR45454",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"lncRNA:CR44490",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"CG14071",0,0,0,0.468019,0,0,0,0.531981,"Low_signal","H1"
"lncRNA:CR44491",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"CG14070",0.700156,0,0,0,0,0,0,0.299844,"Enhancers","Enhancers"
"lncRNA:CR45724",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"CG7309",0,0,0,0.569196,0,0,0,0.430804,"H1","H1"
"CG14069",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"dpr2",0.190929,0,0,0,0,0,0,0.809071,"Low_signal","Low_signal"
"CG14072",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
